,company_name,bse_code,Industry,Sector
0,20 Microns,533022,Minerals & Mining,Industrial Minerals
1,360 ONE,542772,Capital Markets,Stockbroking & Allied
2,3B Blackbio,532067,Healthcare Services,Healthcare Service Provider
3,3i Infotech,532628,IT - Software,Computers - Software & Consulting
4,3M India,523395,Diversified,Diversified
5,5paisa Capital,540776,Capital Markets,Stockbroking & Allied
6,63 Moons Tech.,526881,IT - Software,Computers - Software & Consulting
7,A B B,500002,Electrical Equipment,Heavy Electrical Equipment
8,A B Infrabuild,544281,Construction,Civil Construction
9,A B Lifestyle,544403,Retailing,Speciality Retail
10,A B Real Estate,500040,"Paper, Forest & Jute Products",Paper & Paper Products
11,A-1,542012,Chemicals & Petrochemicals,Trading - Chemicals
12,A.K.Capital Serv,530499,Finance,Non Banking Financial Company (NBFC)
13,Aadhar Hsg. Fin.,544176,Finance,Housing Finance Company
14,Aaron Industries,,Industrial Manufacturing,Industrial Products
15,Aarti Drugs,524348,Pharmaceuticals & Biotechnology,Pharmaceuticals
16,Aarti Industries,524208,Chemicals & Petrochemicals,Specialty Chemicals
17,Aarti Pharma,543748,Pharmaceuticals & Biotechnology,Pharmaceuticals
18,Aarti Surfactant,543210,Chemicals & Petrochemicals,Specialty Chemicals
19,AAVAS Financiers,541988,Finance,Housing Finance Company
20,Aayush Art,540718,Textiles & Apparels,Other Textile Products
21,AB Cotspin,544522,Textiles & Apparels,Other Textile Products
22,Abans Financial,543712,Finance,Holding Company
23,Abbott India,500488,Pharmaceuticals & Biotechnology,Pharmaceuticals
24,ABM Knowledge,531161,IT - Software,Software Products
25,ABS Marine,,Transport Services,Shipping
26,ACC,500410,Cement & Cement Products,Cement & Cement Products
27,Accelya Solution,532268,IT - Software,Computers - Software & Consulting
28,Accent Microcell,,Pharmaceuticals & Biotechnology,Pharmaceuticals
29,Ace Soft. Exp.,531525,IT - Software,Software Products
30,ACME Solar Hold.,544283,Power,Power Generation
31,ACS Tech,530745,IT - Services,IT Enabled Services
32,Action Const.Eq.,532762,"Agricultural, Commercial & Construction Vehicles",Construction Vehicles
33,Active Infra.,,Realty,"Residential, Commercial Projects"
34,Acutaas Chemical,543349,Pharmaceuticals & Biotechnology,Pharmaceuticals
35,Adani Energy Sol,539254,Power,Power Distribution
36,Adani Enterp.,512599,Metals & Minerals Trading,Trading - Minerals
37,Adani Green,541450,Power,Power Generation
38,Adani Ports,532921,Transport Infrastructure,Port & Port services
39,Adani Power,533096,Power,Integrated Power Utilities
40,Adani Total Gas,542066,Gas,LPG/CNG/PNG/LNG Supplier
41,ADC India,523411,Telecom -  Equipment & Accessories,Telecom -  Equipment & Accessories
42,Adcounty Media.,544435,Media,Web based media and service
43,ADF Foods,519183,Food Products,Packaged Foods
44,Adit.Birla Money,532974,Capital Markets,Stockbroking & Allied
45,Aditya AMC,543374,Capital Markets,Asset Management Company
46,Aditya Bir. Fas.,535755,Retailing,Speciality Retail
47,Aditya Birla Cap,540691,Finance,Investment Company
48,Aditya Infotech,544466,Industrial Manufacturing,Industrial Products
49,Aditya Vision,540205,Retailing,Speciality Retail
50,Ador Welding,517041,Industrial Products,Other Industrial Products
51,Advait Energy,543230,Industrial Products,Cables - Electricals
52,Advance Agrolife,544562,Fertilizers & Agrochemicals,Pesticides & Agrochemicals
53,Advanced Enzyme,540025,Pharmaceuticals & Biotechnology,Biotechnology
54,Advani Hotels.,523269,Leisure Services,Hotels & Resorts
55,Advent Hotels,544446,Leisure Services,Hotels & Resorts
56,Aegis Logistics,500003,Gas,Trading - Gas
57,Aegis Vopak Term,544407,Oil,Oil Storage & Transportation
58,Aelea Commoditi.,544213,Agricultural Food & other Products,Other Agricultural Products
59,Aequs,544634,Aerospace & Defense,Aerospace & Defense
60,Aeroflex,543972,Industrial Products,Iron & Steel Products
61,Aeroflex Enter.,511076,Industrial Products,Iron & Steel Products
62,Aerpace Indus,534733,Industrial Products,Iron & Steel Products
63,Aether Industri.,543534,Chemicals & Petrochemicals,Specialty Chemicals
64,Afcom Holdings,544224,Transport Services,Logistics Solution Provider
65,Afcons Infrastr.,544280,Construction,Civil Construction
66,Affle 3i,542752,IT - Services,IT Enabled Services
67,Agarwal Indl.,531921,Chemicals & Petrochemicals,Petrochemicals
68,AGI Greenpac,500187,Industrial Products,Packaging
69,AGI Infra,539042,Realty,"Residential, Commercial Projects"
70,Agribio Spirits,539546,Beverages,Breweries & Distilleries
71,Ahluwalia Contr.,532811,Construction,Civil Construction
72,Ahm. Steelcraft,522273,Industrial Products,Iron & Steel Products
73,AIA Engineering,532683,Industrial Products,Castings & Forgings
74,Aimtron,,Industrial Manufacturing,Industrial Products
75,Airfloa Rail,544516,Industrial Manufacturing,Industrial Products
76,Ajanta Pharma,532331,Pharmaceuticals & Biotechnology,Pharmaceuticals
77,Ajax Engineering,544356,"Agricultural, Commercial & Construction Vehicles",Construction Vehicles
78,Ajmera Realty,513349,Realty,"Residential, Commercial Projects"
79,Akums Drugs,544222,Pharmaceuticals & Biotechnology,Pharmaceuticals
80,Akzo Nobel,500710,Consumer Durables,Paints
81,Alankit,531082,Commercial Services & Supplies,Diversified Commercial Services
82,Albert David,524075,Pharmaceuticals & Biotechnology,Pharmaceuticals
83,Alembic,506235,Realty,"Residential, Commercial Projects"
84,Alembic Pharma,533573,Pharmaceuticals & Biotechnology,Pharmaceuticals
85,Algoquant Fin,505725,Finance,Other Financial Services
86,Alicon Cast.,531147,Auto Components,Auto Components & Equipments
87,Alivus Life,543322,Pharmaceuticals & Biotechnology,Pharmaceuticals
88,Alkem Lab,539523,Pharmaceuticals & Biotechnology,Pharmaceuticals
89,Alkyl Amines,506767,Chemicals & Petrochemicals,Specialty Chemicals
90,All E Tech,,IT - Software,Computers - Software & Consulting
91,All Time Plastic,544479,Consumer Durables,Houseware
92,Allcargo Logist.,532749,Transport Services,Logistics Solution Provider
93,Allcargo Termi,543954,Transport Infrastructure,Port & Port services
94,Alldigi Tech,532633,Commercial Services & Supplies,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO)
95,Allied Blenders,544203,Beverages,Breweries & Distilleries
96,Allied Digital,532875,IT - Services,IT Enabled Services
97,Almondz Global,531400,Capital Markets,Stockbroking & Allied
98,Alok Industries,521070,Textiles & Apparels,Other Textile Products
99,Alpex Solar,,Electrical Equipment,Other Electrical Equipment
100,Alphalogic Tech.,542770,IT - Software,Computers - Software & Consulting
101,Altius Telecom,543225,Telecom - Services,Telecom - Infrastructure
102,Alufluoride,524634,Chemicals & Petrochemicals,Commodity Chemicals
103,Amagi Media Labs,544679,IT - Services,IT Enabled Services
104,Amal,506597,Chemicals & Petrochemicals,Specialty Chemicals
105,Amanta Healthcar,544502,Pharmaceuticals & Biotechnology,Pharmaceuticals
106,Amara Raja Ener.,500008,Auto Components,Auto Components & Equipments
107,Amber Enterp.,540902,Consumer Durables,Household Appliances
108,Ambika Cotton,531978,Textiles & Apparels,Other Textile Products
109,Ambuja Cements,500425,Cement & Cement Products,Cement & Cement Products
110,Amic Forging,544037,Industrial Products,Castings & Forgings
111,Amines & Plast.,506248,Chemicals & Petrochemicals,Commodity Chemicals
112,Amrutanjan Healt,590006,Pharmaceuticals & Biotechnology,Pharmaceuticals
113,Anand Rathi Shar,544530,Capital Markets,Stockbroking & Allied
114,Anand Rathi Wea.,543415,Capital Markets,Financial Products Distributor
115,Anand Rayons,542721,Textiles & Apparels,Trading - Textile Products
116,Anant Raj,515055,Realty,"Residential, Commercial Projects"
117,Anantam Highways,544579,Transport Infrastructure,"Road AssetsToll, Annuity, Hybrid-Annuity"
118,ANB Metal,,Industrial Products,"Aluminium, Copper & Zinc Products"
119,Andhra Cements,532141,Cement & Cement Products,Cement & Cement Products
120,Andhra Paper,502330,"Paper, Forest & Jute Products",Paper & Paper Products
121,Andhra Petrochem,500012,Chemicals & Petrochemicals,Commodity Chemicals
122,Andhra Sugars,590062,Chemicals & Petrochemicals,Commodity Chemicals
123,Andrew Yule & Co,526173,Agricultural Food & other Products,Tea & Coffee
124,Angel One,543235,Capital Markets,Stockbroking & Allied
