company_name,bse_code,nse_code,industry,sector,sector_v1
GTL Infra.,532775,GTLINFRA,Telecom - Services,Telecom - Infrastructure,Telecom - Services
JP Associates,532532,JPASSOCIAT,Construction,Civil Construction,Construction
Dish TV India,532839,DISHTV,Entertainment,TV Broadcasting & Software Production,Entertainment
Davangere Sugar,543267,DAVANGERE,Diversified FMCG,Diversified FMCG,Diversified FMCG
Unitech,507878,UNITECH,Realty,"Residential, Commercial Projects",Realty
Easy Trip Plann.,543272,EASEMYTRIP,Leisure Services,"Tour, Travel Related Services","Tour, Travel Related Services"
Vakrangee,511431,VAKRANGEE,IT - Services,IT Enabled Services,IT Enabled Services
Salasar Techno,540642,SALASAR,Industrial Manufacturing,Industrial Products,Industrial Products
Rama Steel Tubes,539309,RAMASTEEL,Industrial Products,Iron & Steel Products,Iron & Steel Products
SEPC,532945,SEPC,Construction,Civil Construction,Construction
Steel Exchange,534748,STEELXIND,Industrial Products,Iron & Steel Products,Iron & Steel Products
RattanIndia Pow.,533122,RTNPOWER,Power,Power Generation,Power
HLV,500193,HLVLTD,Leisure Services,Hotels & Resorts,Hotels & Resorts
Media Matrix,512267,,Entertainment,"Film Production, Distribution & Exhibition",Entertainment
India Power Corp,,DPSCLTD,Power,Integrated Power Utilities,Power
Brightcom Group,532368,BCG,IT - Services,IT Enabled Services,IT Enabled Services
Jyoti Structures,513250,JYOTISTRUC,Electrical Equipment,Heavy Electrical Equipment,Electrical Equipment
Allcargo Logist.,532749,ALLCARGO,Transport Services,Logistics Solution Provider,Logistics Solution Provider
Subex,532348,SUBEXLTD,IT - Software,Software Products,Software Products
Orient Green,533263,GREENPOWER,Power,Power Generation,Power
Vodafone Idea,532822,IDEA,Telecom - Services,Telecom - Cellular & Fixed line services,Telecom - Services
Urja Global,526987,URJA,Electrical Equipment,Other Electrical Equipment,Electrical Equipment
Hathway Cable,533162,HATHWAY,Entertainment,TV Broadcasting & Software Production,Entertainment
PC Jeweller,534809,PCJEWELLER,Consumer Durables,"Gems, Jewellery And Watches","Gems, Jewellery And Watches"
Motisons Jewel,544053,MOTISONS,Consumer Durables,"Gems, Jewellery And Watches","Gems, Jewellery And Watches"
Indiabulls,533520,IBULLSLTD,Commercial Services & Supplies,Diversified Commercial Services,Diversified Commercial Services
Syncom Formul.,524470,SYNCOMF,Pharmaceuticals & Biotechnology,Pharmaceuticals,Pharmaceuticals & Biotechnology
Utkarsh Small F.,543942,UTKARSHBNK,Banks,Other Bank,Banks
Nila Spaces,542231,NILASPACES,Realty,"Residential, Commercial Projects",Realty
Alok Industries,521070,ALOKINDS,Textiles & Apparels,Other Textile Products,Other Textile Products
Shish Industries,540693,,Industrial Products,Plastic Products - Industrial,Plastic Products - Industrial
JP Power Ven.,532627,JPPOWER,Power,Power Generation,Power
Kellton Tech,519602,KELLTONTEC,IT - Services,IT Enabled Services,IT Enabled Services
Bajaj Hindusthan,500032,BAJAJHIND,Agricultural Food & other Products,Sugar,Sugar
Infibeam Avenues,539807,INFIBEAM,Financial Technology (Fintech),Financial Technology (Fintech),Financial Technology (Fintech)
Hardwyn India,541276,HARDWYN,Consumer Durables,"Furniture, Home Furnishing","Furniture, Home Furnishing"
C C C L,532902,CCCL,Realty,"Residential, Commercial Projects",Realty
Cropster Agro,523105,,Industrial Products,Packaging,Packaging
Blue Cloud Soft.,539607,,IT - Software,Software Products,Software Products
Sindhu Trade,532029,SINDHUTRAD,Transport Services,Logistics Solution Provider,Logistics Solution Provider
A B Infrabuild,544281,ABINFRA,Construction,Civil Construction,Construction
Hind.Construct.,500185,HCC,Construction,Civil Construction,Construction
STL Networks,544395,STLNETWORK,Telecom - Services,Other Telecom Services,Telecom - Services
Rushil Decor,533470,RUSHIL,Consumer Durables,Plywood Boards/ Laminates,Plywood Boards/ Laminates
Artemis Electri.,542670,,Electrical Equipment,Other Electrical Equipment,Electrical Equipment
Peninsula Land,503031,PENINLAND,Realty,"Residential, Commercial Projects",Realty
Raj Rayon Inds.,530699,RAJRILTD,Textiles & Apparels,Other Textile Products,Other Textile Products
Andrew Yule & Co,526173,ANDREWYU,Agricultural Food & other Products,Tea & Coffee,Tea & Coffee
Primo Chemicals,506852,PRIMO,Chemicals & Petrochemicals,Commodity Chemicals,Commodity Chemicals
Yes Bank,532648,YESBANK,Banks,Private Sector Bank,Banks
Kamdhenu,532741,KAMDHENU,Industrial Products,Iron & Steel Products,Iron & Steel Products
Fineotex Chem,533333,FCL,Chemicals & Petrochemicals,Specialty Chemicals,Specialty Chemicals
MOS Utility,,MOS,Financial Technology (Fintech),Financial Technology (Fintech),Financial Technology (Fintech)
Best Agrolife,539660,BESTAGRO,Fertilizers & Agrochemicals,Pesticides & Agrochemicals,Pesticides & Agrochemicals
H T Media,532662,HTMEDIA,Media,Print Media,Media
Mukka Proteins,544135,MUKKA,Food Products,Animal Feed,Animal Feed
Sigachi Indust.,543389,SIGACHI,Pharmaceuticals & Biotechnology,Pharmaceuticals,Pharmaceuticals & Biotechnology
Shiva Cement,532323,,Cement & Cement Products,Cement & Cement Products,Cement & Cement Products
Magellanic Cloud,538891,MCLOUD,IT - Software,Computers - Software & Consulting,Computers - Software & Consulting
SpiceJet,500285,SPICEJET,Transport Services,Airline,Airline
Vishal Fabrics,538598,VISHAL,Textiles & Apparels,Garments & Apparels,Garments & Apparels
Sh.Renuka Sugar,532670,RENUKA,Agricultural Food & other Products,Sugar,Sugar
Allcargo Termi,543954,ATL,Transport Infrastructure,Port & Port services,Transport Infrastructure
Jindal Worldwide,531543,JINDWORLD,Textiles & Apparels,Other Textile Products,Other Textile Products
Dhanlaxmi Bank,532180,DHANBANK,Banks,Private Sector Bank,Banks
Centrum Capital,501150,CENTRUM,Finance,Other Financial Services,Finance
TransIndia Real,543955,TREL,Transport Services,Logistics Solution Provider,Logistics Solution Provider
Trident,521064,TRIDENT,Textiles & Apparels,Other Textile Products,Other Textile Products
HMA Agro Inds.,543929,HMAAGRO,Food Products,Meat Products including Poultry,Meat Products including Poultry
Jaybharat Text,512233,,Textiles & Apparels,Other Textile Products,Other Textile Products
Oswal Green Tech,539290,OSWALGREEN,Finance,Investment Company,Finance
Rhetan TMT Ltd,543590,RHETAN,Industrial Products,Iron & Steel Products,Iron & Steel Products
Polo Queen Ind.,540717,,Commercial Services & Supplies,Trading & Distributors,Trading & Distributors
Pun. & Sind Bank,533295,PSB,Banks,Public Sector Bank,Banks
Sumeet Industrie,514211,SUMEETINDS,Textiles & Apparels,Other Textile Products,Other Textile Products
Cellecor Gadgets,,CELLECOR,Consumer Durables,Consumer Electronics,Consumer Electronics
BCL Industries,524332,BCLIND,Beverages,Breweries & Distilleries,Beverages
Den Networks,533137,DEN,Entertainment,TV Broadcasting & Software Production,Entertainment
Patel Engineerin,531120,PATELENG,Construction,Civil Construction,Construction
Reliance Power,532939,RPOWER,Power,Power Generation,Power
ESAF Small Fin,544020,ESAFSFB,Banks,Other Bank,Banks
MSP Steel & Pow.,532650,MSPL,Industrial Products,Iron & Steel Products,Iron & Steel Products
UCO Bank,532505,UCOBANK,Banks,Public Sector Bank,Banks
